age,sex,sub_pops,prop0,prop1,prop2,prop3,prop4,prev_RR0,prev_RR1,prev_RR2,prev_RR3,prev_RR4,i_RR0,i_RR1,i_RR2,i_RR3,i_RR4,f_RR0,f_RR1,f_RR2,f_RR3,f_RR4,if_RR0,if_RR1,if_RR2,if_RR3,if_RR4,DR_scale0,DR_scale1,DR_scale2,DR_scale3,DR_scale4
30,female,5,0.2,0.2,0.2,0.2,0.2,1.580279844,1.435209883,1.290139922,1.145069961,1,1.597382941,1.448037206,1.298691471,1.149345735,1,1.176664768,1.132498576,1.088332384,1.044166192,1,1,1,1,1,1,1,1,1,1,1
31,female,5,0.2,0.2,0.2,0.2,0.2,1.580279844,1.435209883,1.290139922,1.145069961,1,1.597382941,1.448037206,1.298691471,1.149345735,1,1.176664768,1.132498576,1.088332384,1.044166192,1,1,1,1,1,1,1,1,1,1,1
32,female,5,0.2,0.2,0.2,0.2,0.2,1.580279844,1.435209883,1.290139922,1.145069961,1,1.597382941,1.448037206,1.298691471,1.149345735,1,1.176664768,1.132498576,1.088332384,1.044166192,1,1,1,1,1,1,1,1,1,1,1
33,female,5,0.2,0.2,0.2,0.2,0.2,1.580279844,1.435209883,1.290139922,1.145069961,1,1.597382941,1.448037206,1.298691471,1.149345735,1,1.176664768,1.132498576,1.088332384,1.044166192,1,1,1,1,1,1,1,1,1,1,1
34,female,5,0.2,0.2,0.2,0.2,0.2,1.580279844,1.435209883,1.290139922,1.145069961,1,1.597382941,1.448037206,1.298691471,1.149345735,1,1.176664768,1.132498576,1.088332384,1.044166192,1,1,1,1,1,1,1,1,1,1,1
35,female,5,0.2,0.2,0.2,0.2,0.2,1.621961756,1.466471317,1.310980878,1.155490439,1,1.633113016,1.474834762,1.316556508,1.158278254,1,1.200107735,1.150080801,1.100053867,1.050026934,1,1,1,1,1,1,1,1,1,1,1
36,female,5,0.2,0.2,0.2,0.2,0.2,1.621961756,1.466471317,1.310980878,1.155490439,1,1.633113016,1.474834762,1.316556508,1.158278254,1,1.200107735,1.150080801,1.100053867,1.050026934,1,1,1,1,1,1,1,1,1,1,1
37,female,5,0.2,0.2,0.2,0.2,0.2,1.621961756,1.466471317,1.310980878,1.155490439,1,1.633113016,1.474834762,1.316556508,1.158278254,1,1.200107735,1.150080801,1.100053867,1.050026934,1,1,1,1,1,1,1,1,1,1,1
38,female,5,0.2,0.2,0.2,0.2,0.2,1.621961756,1.466471317,1.310980878,1.155490439,1,1.633113016,1.474834762,1.316556508,1.158278254,1,1.200107735,1.150080801,1.100053867,1.050026934,1,1,1,1,1,1,1,1,1,1,1
39,female,5,0.2,0.2,0.2,0.2,0.2,1.621961756,1.466471317,1.310980878,1.155490439,1,1.633113016,1.474834762,1.316556508,1.158278254,1,1.200107735,1.150080801,1.100053867,1.050026934,1,1,1,1,1,1,1,1,1,1,1
40,female,5,0.2,0.2,0.2,0.2,0.2,1.675605816,1.506704362,1.337802908,1.168901454,1,1.682000371,1.511500278,1.341000185,1.170500093,1,1.232092626,1.174069469,1.116046313,1.058023156,1,1,1,1,1,1,1,1,1,1,1
41,female,5,0.2,0.2,0.2,0.2,0.2,1.675605816,1.506704362,1.337802908,1.168901454,1,1.682000371,1.511500278,1.341000185,1.170500093,1,1.232092626,1.174069469,1.116046313,1.058023156,1,1,1,1,1,1,1,1,1,1,1
42,female,5,0.2,0.2,0.2,0.2,0.2,1.675605816,1.506704362,1.337802908,1.168901454,1,1.682000371,1.511500278,1.341000185,1.170500093,1,1.232092626,1.174069469,1.116046313,1.058023156,1,1,1,1,1,1,1,1,1,1,1
43,female,5,0.2,0.2,0.2,0.2,0.2,1.675605816,1.506704362,1.337802908,1.168901454,1,1.682000371,1.511500278,1.341000185,1.170500093,1,1.232092626,1.174069469,1.116046313,1.058023156,1,1,1,1,1,1,1,1,1,1,1
44,female,5,0.2,0.2,0.2,0.2,0.2,1.675605816,1.506704362,1.337802908,1.168901454,1,1.682000371,1.511500278,1.341000185,1.170500093,1,1.232092626,1.174069469,1.116046313,1.058023156,1,1,1,1,1,1,1,1,1,1,1
45,female,5,0.2,0.2,0.2,0.2,0.2,1.742322768,1.556742076,1.371161384,1.185580692,1,1.745172337,1.558879253,1.372586169,1.186293084,1,1.27327541,1.954956558,1.136637705,1.068318853,1,1,1,1,1,1,1,1,1,1,1
46,female,5,0.2,0.2,0.2,0.2,0.2,1.742322768,1.556742076,1.371161384,1.185580692,1,1.745172337,1.558879253,1.372586169,1.186293084,1,1.27327541,1.954956558,1.136637705,1.068318853,1,1,1,1,1,1,1,1,1,1,1
47,female,5,0.2,0.2,0.2,0.2,0.2,1.742322768,1.556742076,1.371161384,1.185580692,1,1.745172337,1.558879253,1.372586169,1.186293084,1,1.27327541,1.954956558,1.136637705,1.068318853,1,1,1,1,1,1,1,1,1,1,1
48,female,5,0.2,0.2,0.2,0.2,0.2,1.742322768,1.556742076,1.371161384,1.185580692,1,1.745172337,1.558879253,1.372586169,1.186293084,1,1.27327541,1.954956558,1.136637705,1.068318853,1,1,1,1,1,1,1,1,1,1,1
49,female,5,0.2,0.2,0.2,0.2,0.2,1.742322768,1.556742076,1.371161384,1.185580692,1,1.745172337,1.558879253,1.372586169,1.186293084,1,1.27327541,1.954956558,1.136637705,1.068318853,1,1,1,1,1,1,1,1,1,1,1
50,female,5,0.2,0.2,0.2,0.2,0.2,1.823518996,1.617639247,1.411759498,1.205879749,1,1.824118884,1.618089163,1.412059442,1.206029721,1,1.324515408,1.993386556,1.162257704,1.081128852,1,1,1,1,1,1,1,1,1,1,1
51,female,5,0.2,0.2,0.2,0.2,0.2,1.823518996,1.617639247,1.411759498,1.205879749,1,1.824118884,1.618089163,1.412059442,1.206029721,1,1.324515408,1.993386556,1.162257704,1.081128852,1,1,1,1,1,1,1,1,1,1,1
52,female,5,0.2,0.2,0.2,0.2,0.2,1.823518996,1.617639247,1.411759498,1.205879749,1,1.824118884,1.618089163,1.412059442,1.206029721,1,1.324515408,1.993386556,1.162257704,1.081128852,1,1,1,1,1,1,1,1,1,1,1
53,female,5,0.2,0.2,0.2,0.2,0.2,1.823518996,1.617639247,1.411759498,1.205879749,1,1.824118884,1.618089163,1.412059442,1.206029721,1,1.324515408,1.993386556,1.162257704,1.081128852,1,1,1,1,1,1,1,1,1,1,1
54,female,5,0.2,0.2,0.2,0.2,0.2,1.823518996,1.617639247,1.411759498,1.205879749,1,1.824118884,1.618089163,1.412059442,1.206029721,1,1.324515408,1.993386556,1.162257704,1.081128852,1,1,1,1,1,1,1,1,1,1,1
55,female,5,0.2,0.2,0.2,0.2,0.2,1.920954135,1.690715601,1.460477067,1.230238534,1,1.920749066,1.6905618,1.460374533,1.230187267,1,1.386906755,2.040180067,1.193453378,1.096726689,1,1,1,1,1,1,1,1,1,1,1
56,female,5,0.2,0.2,0.2,0.2,0.2,1.920954135,1.690715601,1.460477067,1.230238534,1,1.920749066,1.6905618,1.460374533,1.230187267,1,1.386906755,2.040180067,1.193453378,1.096726689,1,1,1,1,1,1,1,1,1,1,1
57,female,5,0.2,0.2,0.2,0.2,0.2,1.920954135,1.690715601,1.460477067,1.230238534,1,1.920749066,1.6905618,1.460374533,1.230187267,1,1.386906755,2.040180067,1.193453378,1.096726689,1,1,1,1,1,1,1,1,1,1,1
58,female,5,0.2,0.2,0.2,0.2,0.2,1.920954135,1.690715601,1.460477067,1.230238534,1,1.920749066,1.6905618,1.460374533,1.230187267,1,1.386906755,2.040180067,1.193453378,1.096726689,1,1,1,1,1,1,1,1,1,1,1
59,female,5,0.2,0.2,0.2,0.2,0.2,1.920954135,1.690715601,1.460477067,1.230238534,1,1.920749066,1.6905618,1.460374533,1.230187267,1,1.386906755,2.040180067,1.193453378,1.096726689,1,1,1,1,1,1,1,1,1,1,1
60,female,5,0.2,0.2,0.2,0.2,0.2,1.660236206,1.495177155,1.330118103,1.165059052,1,1.663497913,1.497623435,1.331748957,1.165874478,1,1.294082595,1.970561946,1.147041298,1.073520649,1,1,1,1,1,1,1,1,1,1,1
61,female,5,0.2,0.2,0.2,0.2,0.2,1.660236206,1.495177155,1.330118103,1.165059052,1,1.663497913,1.497623435,1.331748957,1.165874478,1,1.294082595,1.970561946,1.147041298,1.073520649,1,1,1,1,1,1,1,1,1,1,1
62,female,5,0.2,0.2,0.2,0.2,0.2,1.660236206,1.495177155,1.330118103,1.165059052,1,1.663497913,1.497623435,1.331748957,1.165874478,1,1.294082595,1.970561946,1.147041298,1.073520649,1,1,1,1,1,1,1,1,1,1,1
63,female,5,0.2,0.2,0.2,0.2,0.2,1.660236206,1.495177155,1.330118103,1.165059052,1,1.663497913,1.497623435,1.331748957,1.165874478,1,1.294082595,1.970561946,1.147041298,1.073520649,1,1,1,1,1,1,1,1,1,1,1
64,female,5,0.2,0.2,0.2,0.2,0.2,1.660236206,1.495177155,1.330118103,1.165059052,1,1.663497913,1.497623435,1.331748957,1.165874478,1,1.294082595,1.970561946,1.147041298,1.073520649,1,1,1,1,1,1,1,1,1,1,1
65,female,5,0.2,0.2,0.2,0.2,0.2,1.428492648,1.321369486,1.214246324,1.107123162,1,1.438685629,1.329014222,1.219342815,1.109671407,1,1.240382474,1.930286855,1.120191237,1.060095618,1,1,1,1,1,1,1,1,1,1,1
66,female,5,0.2,0.2,0.2,0.2,0.2,1.428492648,1.321369486,1.214246324,1.107123162,1,1.438685629,1.329014222,1.219342815,1.109671407,1,1.240382474,1.930286855,1.120191237,1.060095618,1,1,1,1,1,1,1,1,1,1,1
67,female,5,0.2,0.2,0.2,0.2,0.2,1.428492648,1.321369486,1.214246324,1.107123162,1,1.438685629,1.329014222,1.219342815,1.109671407,1,1.240382474,1.930286855,1.120191237,1.060095618,1,1,1,1,1,1,1,1,1,1,1
68,female,5,0.2,0.2,0.2,0.2,0.2,1.428492648,1.321369486,1.214246324,1.107123162,1,1.438685629,1.329014222,1.219342815,1.109671407,1,1.240382474,1.930286855,1.120191237,1.060095618,1,1,1,1,1,1,1,1,1,1,1
69,female,5,0.2,0.2,0.2,0.2,0.2,1.428492648,1.321369486,1.214246324,1.107123162,1,1.438685629,1.329014222,1.219342815,1.109671407,1,1.240382474,1.930286855,1.120191237,1.060095618,1,1,1,1,1,1,1,1,1,1,1
70,female,5,0.2,0.2,0.2,0.2,0.2,1.261287382,1.195965536,1.130643691,1.065321845,1,1.273002559,1.204751919,1.136501279,1.06825064,1,1.186802069,1.140101552,1.093401034,1.046700517,1,1,1,1,1,1,1,1,1,1,1
71,female,5,0.2,0.2,0.2,0.2,0.2,1.261287382,1.195965536,1.130643691,1.065321845,1,1.273002559,1.204751919,1.136501279,1.06825064,1,1.186802069,1.140101552,1.093401034,1.046700517,1,1,1,1,1,1,1,1,1,1,1
72,female,5,0.2,0.2,0.2,0.2,0.2,1.261287382,1.195965536,1.130643691,1.065321845,1,1.273002559,1.204751919,1.136501279,1.06825064,1,1.186802069,1.140101552,1.093401034,1.046700517,1,1,1,1,1,1,1,1,1,1,1
73,female,5,0.2,0.2,0.2,0.2,0.2,1.261287382,1.195965536,1.130643691,1.065321845,1,1.273002559,1.204751919,1.136501279,1.06825064,1,1.186802069,1.140101552,1.093401034,1.046700517,1,1,1,1,1,1,1,1,1,1,1
74,female,5,0.2,0.2,0.2,0.2,0.2,1.261287382,1.195965536,1.130643691,1.065321845,1,1.273002559,1.204751919,1.136501279,1.06825064,1,1.186802069,1.140101552,1.093401034,1.046700517,1,1,1,1,1,1,1,1,1,1,1
75,female,5,0.2,0.2,0.2,0.2,0.2,1.142819228,1.107114421,1.071409614,1.035704807,1,1.152424752,1.114318564,1.076212376,1.038106188,1,1.133520786,1.100140589,1.066760393,1.033380196,1,1,1,1,1,1,1,1,1,1,1
76,female,5,0.2,0.2,0.2,0.2,0.2,1.142819228,1.107114421,1.071409614,1.035704807,1,1.152424752,1.114318564,1.076212376,1.038106188,1,1.133520786,1.100140589,1.066760393,1.033380196,1,1,1,1,1,1,1,1,1,1,1
77,female,5,0.2,0.2,0.2,0.2,0.2,1.142819228,1.107114421,1.071409614,1.035704807,1,1.152424752,1.114318564,1.076212376,1.038106188,1,1.133520786,1.100140589,1.066760393,1.033380196,1,1,1,1,1,1,1,1,1,1,1
78,female,5,0.2,0.2,0.2,0.2,0.2,1.142819228,1.107114421,1.071409614,1.035704807,1,1.152424752,1.114318564,1.076212376,1.038106188,1,1.133520786,1.100140589,1.066760393,1.033380196,1,1,1,1,1,1,1,1,1,1,1
79,female,5,0.2,0.2,0.2,0.2,0.2,1.142819228,1.107114421,1.071409614,1.035704807,1,1.152424752,1.114318564,1.076212376,1.038106188,1,1.133520786,1.100140589,1.066760393,1.033380196,1,1,1,1,1,1,1,1,1,1,1
80,female,5,0.2,0.2,0.2,0.2,0.2,1.062597757,1.046948318,1.031298878,1.015649439,1,1.067372332,1.050529249,1.033686166,1.016843083,1,1.080709823,1.060532367,1.040354911,1.020177456,1,1,1,1,1,1,1,1,1,1,1
81,female,5,0.2,0.2,0.2,0.2,0.2,1.062597757,1.046948318,1.031298878,1.015649439,1,1.067372332,1.050529249,1.033686166,1.016843083,1,1.080709823,1.060532367,1.040354911,1.020177456,1,1,1,1,1,1,1,1,1,1,1
82,female,5,0.2,0.2,0.2,0.2,0.2,1.062597757,1.046948318,1.031298878,1.015649439,1,1.067372332,1.050529249,1.033686166,1.016843083,1,1.080709823,1.060532367,1.040354911,1.020177456,1,1,1,1,1,1,1,1,1,1,1
83,female,5,0.2,0.2,0.2,0.2,0.2,1.062597757,1.046948318,1.031298878,1.015649439,1,1.067372332,1.050529249,1.033686166,1.016843083,1,1.080709823,1.060532367,1.040354911,1.020177456,1,1,1,1,1,1,1,1,1,1,1
84,female,5,0.2,0.2,0.2,0.2,0.2,1.062597757,1.046948318,1.031298878,1.015649439,1,1.067372332,1.050529249,1.033686166,1.016843083,1,1.080709823,1.060532367,1.040354911,1.020177456,1,1,1,1,1,1,1,1,1,1,1
85,female,5,0.2,0.2,0.2,0.2,0.2,1.01388273,1.010412047,1.006941365,1.003470682,1,1.011437466,1.008578099,1.005718733,1.002859366,1,1.028531404,1.021398553,1.014265702,1.007132851,1,1,1,1,1,1,1,1,1,1,1
86,female,5,0.2,0.2,0.2,0.2,0.2,1.01388273,1.010412047,1.006941365,1.003470682,1,1.011437466,1.008578099,1.005718733,1.002859366,1,1.028531404,1.021398553,1.014265702,1.007132851,1,1,1,1,1,1,1,1,1,1,1
87,female,5,0.2,0.2,0.2,0.2,0.2,1.01388273,1.010412047,1.006941365,1.003470682,1,1.011437466,1.008578099,1.005718733,1.002859366,1,1.028531404,1.021398553,1.014265702,1.007132851,1,1,1,1,1,1,1,1,1,1,1
88,female,5,0.2,0.2,0.2,0.2,0.2,1.01388273,1.010412047,1.006941365,1.003470682,1,1.011437466,1.008578099,1.005718733,1.002859366,1,1.028531404,1.021398553,1.014265702,1.007132851,1,1,1,1,1,1,1,1,1,1,1
89,female,5,0.2,0.2,0.2,0.2,0.2,1.01388273,1.010412047,1.006941365,1.003470682,1,1.011437466,1.008578099,1.005718733,1.002859366,1,1.028531404,1.021398553,1.014265702,1.007132851,1,1,1,1,1,1,1,1,1,1,1
90,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
91,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
92,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
93,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
94,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
95,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
96,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
97,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
98,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
99,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
100,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
101,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
102,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
103,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
104,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
105,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
106,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
107,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
108,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
109,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
110,female,5,0.2,0.2,0.2,0.2,0.2,0.991632444,0.993724333,0.995816222,0.997908111,1,0.977195674,0.982896756,0.988597837,0.994298919,1,0.96696153,0.975221147,0.983480765,0.991740382,1,1,1,1,1,1,1,1,1,1,1
0,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,male,5,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
