age,sex,sub_pops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
49,female,5,0.2,0.2,0.2,0.2,0.2,1.663922236,1.497941677,1.331961118,1.165980559,1,1.129293112,1.096969834,1.064646556,1.032323278,1
50,female,5,0.2,0.2,0.2,0.2,0.2,1.69916103,1.524370772,1.349580515,1.174790257,1,1.157672984,1.118254738,1.078836492,1.039418246,1
51,female,5,0.2,0.2,0.2,0.2,0.2,1.69916103,1.524370772,1.349580515,1.174790257,1,1.157672984,1.118254738,1.078836492,1.039418246,1
52,female,5,0.2,0.2,0.2,0.2,0.2,1.69916103,1.524370772,1.349580515,1.174790257,1,1.157672984,1.118254738,1.078836492,1.039418246,1
53,female,5,0.2,0.2,0.2,0.2,0.2,1.69916103,1.524370772,1.349580515,1.174790257,1,1.157672984,1.118254738,1.078836492,1.039418246,1
54,female,5,0.2,0.2,0.2,0.2,0.2,1.69916103,1.524370772,1.349580515,1.174790257,1,1.157672984,1.118254738,1.078836492,1.039418246,1
55,female,5,0.2,0.2,0.2,0.2,0.2,1.741219155,1.555914366,1.370609577,1.185304789,1,1.14399555,1.107996663,1.071997775,1.035998888,1
56,female,5,0.2,0.2,0.2,0.2,0.2,1.741219155,1.555914366,1.370609577,1.185304789,1,1.14399555,1.107996663,1.071997775,1.035998888,1
57,female,5,0.2,0.2,0.2,0.2,0.2,1.741219155,1.555914366,1.370609577,1.185304789,1,1.14399555,1.107996663,1.071997775,1.035998888,1
58,female,5,0.2,0.2,0.2,0.2,0.2,1.741219155,1.555914366,1.370609577,1.185304789,1,1.14399555,1.107996663,1.071997775,1.035998888,1
59,female,5,0.2,0.2,0.2,0.2,0.2,1.741219155,1.555914366,1.370609577,1.185304789,1,1.14399555,1.107996663,1.071997775,1.035998888,1
60,female,5,0.2,0.2,0.2,0.2,0.2,1.581209269,1.435906952,1.290604635,1.145302317,1,1.127272253,1.09545419,1.063636127,1.031818063,1
61,female,5,0.2,0.2,0.2,0.2,0.2,1.581209269,1.435906952,1.290604635,1.145302317,1,1.127272253,1.09545419,1.063636127,1.031818063,1
62,female,5,0.2,0.2,0.2,0.2,0.2,1.581209269,1.435906952,1.290604635,1.145302317,1,1.127272253,1.09545419,1.063636127,1.031818063,1
63,female,5,0.2,0.2,0.2,0.2,0.2,1.581209269,1.435906952,1.290604635,1.145302317,1,1.127272253,1.09545419,1.063636127,1.031818063,1
64,female,5,0.2,0.2,0.2,0.2,0.2,1.581209269,1.435906952,1.290604635,1.145302317,1,1.127272253,1.09545419,1.063636127,1.031818063,1
65,female,5,0.2,0.2,0.2,0.2,0.2,1.461618281,1.346213711,1.230809141,1.11540457,1,1.080784604,1.060588453,1.040392302,1.020196151,1
66,female,5,0.2,0.2,0.2,0.2,0.2,1.461618281,1.346213711,1.230809141,1.11540457,1,1.080784604,1.060588453,1.040392302,1.020196151,1
67,female,5,0.2,0.2,0.2,0.2,0.2,1.461618281,1.346213711,1.230809141,1.11540457,1,1.080784604,1.060588453,1.040392302,1.020196151,1
68,female,5,0.2,0.2,0.2,0.2,0.2,1.461618281,1.346213711,1.230809141,1.11540457,1,1.080784604,1.060588453,1.040392302,1.020196151,1
69,female,5,0.2,0.2,0.2,0.2,0.2,1.461618281,1.346213711,1.230809141,1.11540457,1,1.080784604,1.060588453,1.040392302,1.020196151,1
70,female,5,0.2,0.2,0.2,0.2,0.2,1.343452474,1.257589355,1.171726237,1.085863118,1,1.06436731,1.048275482,1.032183655,1.016091827,1
71,female,5,0.2,0.2,0.2,0.2,0.2,1.343452474,1.257589355,1.171726237,1.085863118,1,1.06436731,1.048275482,1.032183655,1.016091827,1
72,female,5,0.2,0.2,0.2,0.2,0.2,1.343452474,1.257589355,1.171726237,1.085863118,1,1.06436731,1.048275482,1.032183655,1.016091827,1
73,female,5,0.2,0.2,0.2,0.2,0.2,1.343452474,1.257589355,1.171726237,1.085863118,1,1.06436731,1.048275482,1.032183655,1.016091827,1
74,female,5,0.2,0.2,0.2,0.2,0.2,1.343452474,1.257589355,1.171726237,1.085863118,1,1.06436731,1.048275482,1.032183655,1.016091827,1
75,female,5,0.2,0.2,0.2,0.2,0.2,1.22787854,1.170908905,1.11393927,1.056969635,1,1.050946468,1.038209851,1.025473234,1.012736617,1
76,female,5,0.2,0.2,0.2,0.2,0.2,1.22787854,1.170908905,1.11393927,1.056969635,1,1.050946468,1.038209851,1.025473234,1.012736617,1
77,female,5,0.2,0.2,0.2,0.2,0.2,1.22787854,1.170908905,1.11393927,1.056969635,1,1.050946468,1.038209851,1.025473234,1.012736617,1
78,female,5,0.2,0.2,0.2,0.2,0.2,1.22787854,1.170908905,1.11393927,1.056969635,1,1.050946468,1.038209851,1.025473234,1.012736617,1
79,female,5,0.2,0.2,0.2,0.2,0.2,1.22787854,1.170908905,1.11393927,1.056969635,1,1.050946468,1.038209851,1.025473234,1.012736617,1
80,female,5,0.2,0.2,0.2,0.2,0.2,1.115917896,1.086938422,1.057958948,1.028979474,1,1.042090948,1.031568211,1.021045474,1.010522737,1
81,female,5,0.2,0.2,0.2,0.2,0.2,1.115917896,1.086938422,1.057958948,1.028979474,1,1.042090948,1.031568211,1.021045474,1.010522737,1
82,female,5,0.2,0.2,0.2,0.2,0.2,1.115917896,1.086938422,1.057958948,1.028979474,1,1.042090948,1.031568211,1.021045474,1.010522737,1
83,female,5,0.2,0.2,0.2,0.2,0.2,1.115917896,1.086938422,1.057958948,1.028979474,1,1.042090948,1.031568211,1.021045474,1.010522737,1
84,female,5,0.2,0.2,0.2,0.2,0.2,1.115917896,1.086938422,1.057958948,1.028979474,1,1.042090948,1.031568211,1.021045474,1.010522737,1
85,female,5,0.2,0.2,0.2,0.2,0.2,1.008446952,1.006335214,1.004223476,1.002111738,1,1.006855872,1.005141904,1.003427936,1.001713968,1
